id_str,full_text
1207812049696366592,@eva_kurilova @HaenNoral @GaiaRiot @adambvary @glaad @jk_rowling It's funny*
1207805869095653376,@MsBlaireWhite @xxmatias8823xx @yolandavassallo @NorseSigrunn @jk_rowling Because these people advocate against your rights.
1207799689363496961,"@MeretriciousPro @HarryWi94267336 @NicoleOnyxheart @LisaMacRichards @Androktona @WokeDon @jk_rowling It’s also really weird to accuse me, a woman, even by a TERF’s narrow standards, of misogyny for not agreeing with them."
1207798887190343680,"@lisamdanish @jk_rowling I'd like to read this dissertation.
Guess that won't be possible huh?"
1207803135311433733,@jk_rowling Why would you freely attack people and ban them from reading your books when they could read them and mayne grow to whatever perfect people you want them to be.
1207803649419829248,@janeloe3 @ManFRIDAY_ @jk_rowling OKAY ACTUAL BOOMER https://t.co/yQX94rA0ZA
1207802540768841730,@BroVic @l_dawes1 @dabrandolfski @ThatGuyYus @TheRightMelissa @jk_rowling Yep. And trans and intersex rights are human rights.
1207810896661286913,"@szspagna @Behvlnd @jk_rowling Michael Jackson had Vitiligo. He was born, identified as, and died a black man. Thanks for your attention."
1207807039818219520,"@TinTwll @AmazonChique @jk_rowling Except we can't. A lot of intersex people are assigned male at birth, only to find out they're female later in life."
1207798896447164417,"@Shamjar11 @socioEqualiser @jk_rowling actually my bad, SRS does not make sense, as nothing can change someone's sex. 

I meant GRS."
1207803306191572999,"@apjanes @Rebecca_J @CrazyWeeMonkey @ForestGravy @dallascatboys @ironiconcussion @bassbehaviour @DebbieHayton @bindelj @jk_rowling So, literally everywhere, then?"
1207812021699448833,@jk_rowling adore you xx
1207809804082630656,@baljfcabw @maruzeh @MsBlaireWhite @jk_rowling You have to be kidding me.
1207800100795363328,"@jk_rowling Just stop everyone, get a grip. I read a lot of dissenting voices on here fuelled with furious anger. Please try and use your critical faculties, if someone refers to there views on the gender: trans dilemma it’s not aimed at you personally."
1207810038917677056,@chimerra2 @katiephelps_ @KigrisLord @WitchyShayGray @Bobby19_ @jk_rowling yeah
1207812215505477632,"@SelinaPreston @aliamjadrizvi @LabelFreeBrands @jk_rowling I believe that there is a lot of nuance I am unaware of, however the majority of crimes committed against women are done by close friends and partners and not strangers. I also believe that society needs to be restructured and I believe bathrooms should have locks."
1207802710482923520,@jk_rowling How the hell can you say this when you’re meant to be a role model for younger kids? Shame on you
1207803173844475907,@NippySweetyLass @shahmiruk @jk_rowling You are making no sense
1207806953377927168,@jk_rowling I don’t understand why trans women are viewed as such a threat to cis women when they’re literally one of the most oppressed groups in society? We need to stand together and fight for the rights of all women.
1207804502117683201,"@marcyjcook @WrittenByHanna @jk_rowling ""trans hatred has again been proven not to be allowed in law""

thing is, this case didnt even determine bigotry against trans people is illegal. it just said transphobes arent protected by law against consequences from employers. JK tryna make like she's persecuted is xtra ridic."
1207809894453149696,@T_ommy_R_oth @notafootstool @jk_rowling Thanks😀
1207805988255879168,@LonghairCanuck @greekfries @magi_jay @jk_rowling I think that it's far more dangerous to regulate speech than to allow people to say mean things.
1207800052296667139,"@jk_rowling &gt;all these replies
This is what happens when you betray your leftist cult"
1207798822799396865,@Dub45025 @DrDebraSoh @eugenegu @jk_rowling A spectrum is not a binary...
1207798705765511169,"@DebbieHayton @_celia_bedelia_ @MavenOfMayhem @jk_rowling The earth and the sun both revolve around a shared center of mass, so."
1207810715442176002,@MeretriciousPro @notafootstool @jk_rowling so excuse me if I am not being so nice right now
1207802679323435009,"@jk_rowling Stand with Maya. Don't make it a drill. But don't stand in the way of those who have fought so hard to become who they really are, regardless of sex. Of course sex is real. It isn't, however, just what you and Maya say it is."
1207807207225602049,"@jennirsl @jk_rowling @jameskirkup @FraserNelson @MForstater wrong

https://t.co/zRjmQZQ5DW"
1207804395196420096,@YangPopi @jk_rowling please do
1207805284690776064,"@grumpysaffer @coherentstates @jk_rowling Someone who hates, dislikes, belittles, or is afraid of trans people. Example below. https://t.co/qrpBYKnchQ"
