id_str,full_text,retweeted_status.id_str,retweeted_status.full_text,conservative
1.21655E+18,"Subscribe to my Youtube:
#DestinysChild #KellyRowland #Beyonce #MichelleWilliams #ThroughWithLove #DestinyFulfilled
https://t.co/32HTp40oWE https://t.co/s8gj5kxbaV",,,
1.21655E+18,"Subscribe to my Youtube:
#DestinysChild #KellyRowland #Beyonce #MichelleWilliams #ThroughWithLove #DestinyFulfilled
https://t.co/32HTp40oWE https://t.co/p3YC2eHOiz",,,
1.21655E+18,RT @cinepisodio: #MichelleWilliams gana a Mejor Actriz de Reparto en miniserie por #FosseVerdon #CriticsChoice https://t.co/CfcXLpF4fl,1.22E+18,#MichelleWilliams gana a Mejor Actriz de Reparto en miniserie por #FosseVerdon #CriticsChoice https://t.co/CfcXLpF4fl,
1.21655E+18,#MichelleWilliams gana a Mejor Actriz de Reparto en miniserie por #FosseVerdon #CriticsChoice https://t.co/CfcXLpF4fl,,,
1.21655E+18,"Subscribe to my Youtube:
#DestinysChild #KellyRowland #Beyonce #MichelleWilliams #ThroughWithLove #DestinyFulfilled
https://t.co/32HTp40oWE https://t.co/MUfZdQSWt9",,,
1.21655E+18,"#MichelleWilliams mejor actriz en serie limitada o para t.v por #Fosseverdom
#JharelJerome mejor actor de serie limitada por #WhenTheySeeUs 
#AvengersEndgame #VFX (mejor efectos especiales) https://t.co/SFgnMf2Y31",,,
1.21655E+18,"Subscribe to my Youtube:
#DestinysChild #KellyRowland #Beyonce #MichelleWilliams #ThroughWithLove #DestinyFulfilled
https://t.co/32HTp40oWE https://t.co/8iErcof5oq",,,
1.21655E+18,"#MichelleWilliams leva a categoria Melhor Atriz em Minissérie por sua atuação em ""Fosse/Verdon""

#CriticsChoice2020 https://t.co/xFTLgtlaOu",,,
1.21655E+18,RT @capeandcastle: Congratulations to #OztheGreatandPowerful's #MichelleWilliams for winning Best Actress in a Limited Series or Movie Made…,1.22E+18,Congratulations to #OztheGreatandPowerful's #MichelleWilliams for winning Best Actress in a Limited Series or Movie Made for Television! #CriticsChoice https://t.co/Xjqlyzndjp,
1.21655E+18,Congratulations to #OztheGreatandPowerful's #MichelleWilliams for winning Best Actress in a Limited Series or Movie Made for Television! #CriticsChoice https://t.co/Xjqlyzndjp,,,
1.21655E+18,#MichelleWilliams gana el premio #CriticsChoice a mejor actriz en una  serie limitada o película para televisión https://t.co/taBgV3JHGa,,,
1.21655E+18,#Michellewilliams gana el #criticschoice Award por Mejor Actriz en una serie limitada o película hecha para televisión por @FosseVerdonFX. #fx #fosseverdon https://t.co/6rh7jUvQZG,,,
1.21655E+18,#MichelleWilliams  #Congratulations @CriticsChoice,,,
1.21655E+18,"El #CriticsChoice a Mejor Actriz en una Miniserie es para #MichelleWilliams por su papel en #FosseVerdon

#AmoLosPremios #CriticsChoiceAwards https://t.co/PNNKEGnClh",,,
1.21655E+18,"#MichelleWilliams - Mejor Actriz en Miniserie o Película para TV por #FosseVerdon.

#regiosenelcine #CriticsChoiceAwards https://t.co/w1gHH6Wnkk",,,
1.21655E+18,#CriticsChoice  #MichelleWilliams winner 💙 https://t.co/qowPAIcwjd,,,
1.21655E+18,"E o prêmio de Melhor Atriz de Minissérie ou Filme para Televisão foi para #MichelleWilliams por ""Fosse/Verdon""

#CriticsTNT #CriticsChoiceAwards #CriticsChoice
#CriticsChoiceAwards2020 #premiacao #awards #vencedores https://t.co/24wd0GAfbz",,,
1.21655E+18,#CriticsChoice la mejor actriz y actor principal en una serie limitada o película para tv son #MichelleWilliams por su labor en #FosseVerdon y #JharrelJerome por #WhenTheySeeUs https://t.co/fY5YNl9R44,,,
1.21655E+18,"El premio de ""Mejor actriz en serie limitada"" es para #michellewilliams por #FosseVerdon. No estuvo presente para recibir el premio #CriticChoiceawards #CriticsTNT @TNTLA https://t.co/W6VOTr2cNM",,,
1.21655E+18,"RT @TercerCineOk: A #MichelleWilliams no se le escapa ninguno. Vuelve a vencer como Mejor Actriz en Mini Serie, por su rol como Gwen Verdon…",1.22E+18,"A #MichelleWilliams no se le escapa ninguno. Vuelve a vencer como Mejor Actriz en Mini Serie, por su rol como Gwen Verdon.

#CriticsChoice https://t.co/RL0nlyQ9nS",
1.21655E+18,A melhor atriz em série limitada/ filme para TV no #CriticsTNT  é #MichelleWilliams por #FosseVerdon. Mas não foi. Já o melhor ator foi #JharrelJerome por #OlhosqueCondenam. Ele estava lá. https://t.co/zch3vXwB4S,,,
1.21655E+18,#Michellewilliams wins the #criticschoice Award for Best Actress In A Limited Series Or Movie Made For Television for her role in @FosseVerdonFX. #fx #fosseverdon https://t.co/7HErKb3tLd,,,
1.21655E+18,"A #MichelleWilliams no se le escapa ninguno. Vuelve a vencer como Mejor Actriz en Mini Serie, por su rol como Gwen Verdon.

#CriticsChoice https://t.co/RL0nlyQ9nS",,,
1.21655E+18,"Distinguished from the rest are those who perform the best, and the @CriticsChoice Awards accepts no less. Winner of Best Actress in a Limited Series or Movie Made for Television is @FXNetworks @FosseVerdonFX star #MichelleWilliams. #CriticsChoice #CriticsChoiceAwards2020 #TVVD https://t.co/cup0C7IP4s",,,
1.21655E+18,#MichelleWilliams vence como #MelhorAtrizEmFilmeParaTvOuMinisserie no #CritcsChoice https://t.co/AJI0H5E4OM,,,
1.21655E+18,#CriticsChoice #MichelleWilliams wins Best Actress in a Limited Series or Movie Made for Television for #FosseVerdon! https://t.co/J7eZT3hspk,,,
1.21655E+18,#MichelleWilliams se lleva el #CriticsChoice por #FosseVerdon. https://t.co/Kv0HeEAERu,,,
1.21655E+18,"Best Actress for Limited Series or Movie for Television
#MichelleWilliams #FosseVerdon #CriticsChoice",,,
1.21654E+18,4 points for Michelle Williams! #fosseverdon #michellewilliams #CriticsChoiceAwards2020 https://t.co/5fsJAb7acW,,,
1.21654E+18,Congrats #MichelleWilliams on winning for #FosseVerdon #CriticsChoice,,,
1.21653E+18,"RT @V_actually: Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwash…",1.22E+18,"Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwashing &amp; narcism to believe people would see this as a 'self sacrifice' by #MichelleWilliams

She did sacrifice something .. but it wasn’t hers to sacrifice. https://t.co/S9C5A5ttih",1
1.21653E+18,"RT @V_actually: Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwash…",1.22E+18,"Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwashing &amp; narcism to believe people would see this as a 'self sacrifice' by #MichelleWilliams

She did sacrifice something .. but it wasn’t hers to sacrifice. https://t.co/S9C5A5ttih",1
1.21653E+18,"“Women, 18 to 118, when it is time to vote, please do so in your own self-interest.”
“It’s what men have been doing for years, which is why the world looks so much like them.” - 
#MichelleWilliams @goldenglobes 

#MondayMorning",,,0
1.21653E+18,"RT @V_actually: Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwash…",1.22E+18,"Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwashing &amp; narcism to believe people would see this as a 'self sacrifice' by #MichelleWilliams

She did sacrifice something .. but it wasn’t hers to sacrifice. https://t.co/S9C5A5ttih",1
1.21653E+18,"RT @V_actually: Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwash…",1.22E+18,"Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwashing &amp; narcism to believe people would see this as a 'self sacrifice' by #MichelleWilliams

She did sacrifice something .. but it wasn’t hers to sacrifice. https://t.co/S9C5A5ttih",1
1.21652E+18,"RT @V_actually: Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwash…",1.22E+18,"Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwashing &amp; narcism to believe people would see this as a 'self sacrifice' by #MichelleWilliams

She did sacrifice something .. but it wasn’t hers to sacrifice. https://t.co/S9C5A5ttih",1
1.21652E+18,@ABC7NY reports @rickygervais made delicate  @goldenglobes elite feel uncomfortable yet #MichelleWilliams proudly saying abortion allowed her to hold dumb statue was comforting? Sick! Not watching @TheAcademy unless Ricky was hosting! @POTUS 2020!,,,1
1.21652E+18,"RT @V_actually: Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwash…",1.22E+18,"Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwashing &amp; narcism to believe people would see this as a 'self sacrifice' by #MichelleWilliams

She did sacrifice something .. but it wasn’t hers to sacrifice. https://t.co/S9C5A5ttih",1
1.21652E+18,"RT @V_actually: Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwash…",1.22E+18,"Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwashing &amp; narcism to believe people would see this as a 'self sacrifice' by #MichelleWilliams

She did sacrifice something .. but it wasn’t hers to sacrifice. https://t.co/S9C5A5ttih",1
1.21652E+18,"RT @V_actually: Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwash…",1.22E+18,"Hollywood's full of sexual deviants &amp; pedophiles that have sold their souls for fame.

It’s amazing the amount of brainwashing &amp; narcism to believe people would see this as a 'self sacrifice' by #MichelleWilliams

She did sacrifice something .. but it wasn’t hers to sacrifice. https://t.co/S9C5A5ttih",1
1.21652E+18,"RT @MBNAmerica: For what will it profit a woman if she gains a Golden Globe, but forfeits her child’s life? #goldenglobes #michellewilliams…",1.22E+18,"For what will it profit a woman if she gains a Golden Globe, but forfeits her child’s life? #goldenglobes #michellewilliams https://t.co/dfJTjKZGa3",1
1.21651E+18,RT @RealSheilaZ: It occurred to me she’s holding a golden calf (idol) and bragging about the human sacrifice she made to acquire it. #Baal…,1.22E+18,"It occurred to me she’s holding a golden calf (idol) and bragging about the human sacrifice she made to acquire it. #Baal #Molech 
#MichelleWilliams https://t.co/hlr49CbEX6",1
1.21651E+18,RT @RealSheilaZ: It occurred to me she’s holding a golden calf (idol) and bragging about the human sacrifice she made to acquire it. #Baal…,1.22E+18,"It occurred to me she’s holding a golden calf (idol) and bragging about the human sacrifice she made to acquire it. #Baal #Molech 
#MichelleWilliams https://t.co/hlr49CbEX6",1
1.21651E+18,"RT @Chavivohra: ""Women are the largest voting body in the country. Let's make it look more like us.""
#MichelleWilliams @goldenglobes 

@Pam…",1.21E+18,"""Women are the largest voting body in the country. Let's make it look more like us.""
#MichelleWilliams @goldenglobes 

@PamelaFalk @_PriyankaCRaina @PattyArquette @RobertoValentUN @kiranshaw @kapoors_s @KirenShrivastav @emilyslist @BillieJeanKing @ava 
 https://t.co/4G1e6EihNG",0
1.2165E+18,RT @RealSheilaZ: It occurred to me she’s holding a golden calf (idol) and bragging about the human sacrifice she made to acquire it. #Baal…,1.22E+18,"It occurred to me she’s holding a golden calf (idol) and bragging about the human sacrifice she made to acquire it. #Baal #Molech 
#MichelleWilliams https://t.co/hlr49CbEX6",1
1.2165E+18,"RT @LeanInOrg: 2020 MOOD:

""Women are the largest voting body in the country. Let's make it look more like us.""

OWN 👏 YOUR 👏 POWER 👏 LADIE…",1.21E+18,"2020 MOOD:

""Women are the largest voting body in the country. Let's make it look more like us.""

OWN 👏 YOUR 👏 POWER 👏 LADIES 👏

#MichelleWilliams #GoldenGlobes https://t.co/wa7UCglPll",0
